Date, Open , High , Low , Close , Adj_Close , Volume 
05/11/2021, 409.33 , 413.29 , 402.67 , 407.36 , 407.36 ," 64,886,400.00 "
08/11/2021, 383.26 , 399.00 , 377.67 , 387.65 , 387.65 ," 100,337,100.00 "
09/11/2021, 391.20 , 391.50 , 337.17 , 341.17 , 341.17 ," 177,317,400.00 "
10/11/2021, 336.80 , 359.37 , 329.10 , 355.98 , 355.98 ," 128,408,100.00 "
11/11/2021, 367.59 , 368.32 , 351.56 , 354.50 , 354.50 ," 67,189,800.00 "
12/11/2021, 349.17 , 351.50 , 339.73 , 344.47 , 344.47 ," 76,719,300.00 "
15/11/2021, 339.21 , 343.99 , 326.20 , 337.80 , 337.80 ," 104,326,800.00 "
16/11/2021, 334.44 , 352.40 , 334.06 , 351.58 , 351.58 ," 79,627,200.00 "
17/11/2021, 354.50 , 373.21 , 351.83 , 363.00 , 363.00 ," 94,336,200.00 "
18/11/2021, 368.85 , 370.67 , 358.34 , 365.46 , 365.46 ," 62,696,700.00 "
19/11/2021, 366.29 , 379.57 , 364.23 , 379.02 , 379.02 ," 64,926,900.00 "
22/11/2021, 387.44 , 400.65 , 377.48 , 385.62 , 385.62 ," 99,217,500.00 "
23/11/2021, 389.17 , 393.50 , 354.23 , 369.68 , 369.68 ," 108,515,100.00 "
24/11/2021, 360.13 , 377.59 , 354.00 , 372.00 , 372.00 ," 67,680,600.00 "
26/11/2021, 366.49 , 369.59 , 360.33 , 360.64 , 360.64 ," 35,042,700.00 "
29/11/2021, 367.00 , 380.89 , 366.73 , 379.00 , 379.00 ," 58,393,500.00 "
30/11/2021, 381.46 , 389.33 , 372.67 , 381.59 , 381.59 ," 81,276,000.00 "
01/12/2021, 386.90 , 390.95 , 363.59 , 365.00 , 365.00 ," 68,450,400.00 "
02/12/2021, 366.35 , 371.00 , 352.22 , 361.53 , 361.53 ," 73,114,800.00 "
03/12/2021, 361.60 , 363.53 , 333.40 , 338.32 , 338.32 ," 92,322,000.00 "
06/12/2021, 333.84 , 340.55 , 316.83 , 336.34 , 336.34 ," 81,663,000.00 "
07/12/2021, 348.07 , 352.56 , 342.27 , 350.58 , 350.58 ," 56,084,700.00 "
08/12/2021, 350.90 , 357.46 , 344.33 , 356.32 , 356.32 ," 41,906,400.00 "
09/12/2021, 353.55 , 354.16 , 334.12 , 334.60 , 334.60 ," 59,438,400.00 "
10/12/2021, 336.25 , 340.33 , 327.51 , 339.01 , 339.01 ," 59,664,300.00 "
13/12/2021, 333.70 , 335.00 , 317.14 , 322.14 , 322.14 ," 78,595,500.00 "
14/12/2021, 315.00 , 322.14 , 310.00 , 319.50 , 319.50 ," 70,806,300.00 "
15/12/2021, 317.74 , 326.25 , 309.42 , 325.33 , 325.33 ," 75,169,200.00 "
16/12/2021, 331.50 , 331.66 , 307.28 , 308.97 , 308.97 ," 82,771,500.00 "
17/12/2021, 304.92 , 320.22 , 303.01 , 310.86 , 310.86 ," 100,437,300.00 "
20/12/2021, 303.57 , 307.23 , 297.80 , 299.98 , 299.98 ," 56,480,100.00 "
21/12/2021, 305.62 , 313.17 , 295.37 , 312.84 , 312.84 ," 71,517,900.00 "
22/12/2021, 321.89 , 338.55 , 319.02 , 336.29 , 336.29 ," 93,634,200.00 "
23/12/2021, 335.60 , 357.66 , 332.52 , 355.67 , 355.67 ," 92,713,200.00 "
27/12/2021, 357.89 , 372.33 , 356.91 , 364.65 , 364.65 ," 71,145,900.00 "
28/12/2021, 369.83 , 373.00 , 359.47 , 362.82 , 362.82 ," 60,324,000.00 "
29/12/2021, 366.21 , 368.00 , 354.71 , 362.06 , 362.06 ," 56,154,000.00 "
30/12/2021, 353.78 , 365.18 , 351.05 , 356.78 , 356.78 ," 47,040,900.00 "
31/12/2021, 357.81 , 360.67 , 351.53 , 352.26 , 352.26 ," 40,733,700.00 "
03/01/2022, 382.58 , 400.36 , 378.68 , 399.93 , 399.93 ," 103,931,400.00 "
04/01/2022, 396.52 , 402.67 , 374.35 , 383.20 , 383.20 ," 100,248,300.00 "
05/01/2022, 382.22 , 390.11 , 360.34 , 362.71 , 362.71 ," 80,119,800.00 "
06/01/2022, 359.00 , 362.67 , 340.17 , 354.90 , 354.90 ," 90,336,600.00 "
07/01/2022, 360.12 , 360.31 , 336.67 , 342.32 , 342.32 ," 84,164,700.00 "
10/01/2022, 333.33 , 353.03 , 326.67 , 352.71 , 352.71 ," 91,815,000.00 "
11/01/2022, 351.22 , 358.62 , 346.27 , 354.80 , 354.80 ," 66,063,300.00 "
12/01/2022, 359.62 , 371.61 , 357.53 , 368.74 , 368.74 ," 83,739,000.00 "
13/01/2022, 369.69 , 371.87 , 342.18 , 343.85 , 343.85 ," 97,209,900.00 "
14/01/2022, 339.96 , 350.67 , 337.79 , 349.87 , 349.87 ," 72,924,300.00 "
18/01/2022, 342.20 , 356.93 , 338.69 , 343.50 , 343.50 ," 66,743,400.00 "
19/01/2022, 347.24 , 351.56 , 331.67 , 331.88 , 331.88 ," 75,442,500.00 "
20/01/2022, 336.58 , 347.22 , 331.33 , 332.09 , 332.09 ," 70,488,600.00 "
21/01/2022, 332.11 , 334.85 , 313.50 , 314.63 , 314.63 ," 103,416,000.00 "
24/01/2022, 301.59 , 311.17 , 283.82 , 310.00 , 310.00 ," 151,565,700.00 "
25/01/2022, 304.73 , 317.09 , 301.07 , 306.13 , 306.13 ," 86,595,900.00 "
26/01/2022, 317.48 , 329.23 , 302.00 , 312.47 , 312.47 ," 104,867,400.00 "
27/01/2022, 311.12 , 311.80 , 276.33 , 276.37 , 276.37 ," 147,109,500.00 "
28/01/2022, 277.19 , 285.83 , 264.00 , 282.12 , 282.12 ," 134,789,100.00 "
31/01/2022, 290.90 , 312.66 , 287.35 , 312.24 , 312.24 ," 104,436,000.00 "
01/02/2022, 311.74 , 314.57 , 301.67 , 310.42 , 310.42 ," 73,138,200.00 "
02/02/2022, 309.39 , 310.50 , 296.47 , 301.89 , 301.89 ," 66,792,900.00 "
03/02/2022, 294.00 , 312.33 , 293.51 , 297.05 , 297.05 ," 78,855,600.00 "
04/02/2022, 299.07 , 312.17 , 293.72 , 307.77 , 307.77 ," 73,625,400.00 "
07/02/2022, 307.93 , 315.92 , 300.90 , 302.45 , 302.45 ," 60,994,500.00 "
08/02/2022, 301.84 , 308.76 , 298.27 , 307.33 , 307.33 ," 50,729,100.00 "
